,,,,,,,,,,,,,,,,,
,1) Species ,,,,,,,,,,,,,,,,
,"you can roll 1d100, consult the Random Species Table, and gain +20 XP if you accept the result",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Random Species Table,,,,,,,,,,,,,,,,
,1d100,Species,,,,,,,,,,,,,,,
,01-90,Human,,,,,,,,,,,,,,,
,91-94,Halfling,,Did you roll?,,Unselected,,,,,,,,,,,
,95-98,Dwarf,,,,,,,,,,,,,,,
,99,High Elf,,Race,,Unselected,,,,,,,,,,,
,0,Wood Elf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2) Class and Career,,,,,,,,,,,,,,,,
,"Step 1. Roll 1d100 on the Random Class and Career Table. If you don’t like the result, move to step 2. If you keep the result, gain +50 XP.",,,,,,,,,,,,,,,,
,"Step 2. Roll twice more on the table, bringing your total to 3 choices. If one of the three now suits you, select one and gain +25 XP. If not, move to Step 3.",,,,,,,,,,,,,,,,
,"Step 3. Choose your Class and Career, or keep rerolling on the table until you get something you like. There is no XP bonus for this.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Class,,Career/Species,,Human,Dwarf,Halfling,High Elf,Wood Elf,,,,,,,,
,ACADEMICS,,Apothecary,,1,1,1,1-2,-,,,,,,,,
,,,Engineer,,2,2-4,2,-,-,,,,,,,,
,,,Lawyer,,3,5-6,3-4,3-6,-,,,,,,,,
,,,Nun,,04-05,-,-,-,-,,,,,,,,
,,,Physician,,6,7,5-6,7-8,-,,,,,,,,
,,,Priest,,07-11,-,-,-,-,,,,,,,,
,,,Scholar,,12-13,8-9,7,9-12,1,,,,,,,,
,,,Wizard,,14,-,-,13-16,2-5,,,,,,,,
,BURGHERS,,Agitator,,15,10-11,9-10,-,-,,,,,,,,
,,,Artisan,,16-17,12-17,11-15,17-19,6-10,,,,,,,,
,,,Beggar,,18-19,18,16-19,-,-,,,,,,,,
,,,Investigator,,20,19-20,20-21,20-21,-,,,,,,,,
,,,Merchant,,21,21-24,22-25,22-26,-,,,,,,,,
,,,Rat Catcher,,22-23,25,26-28,-,-,,,,,,,,
,,,Townsman,,24-26,26-31,29-31,27-28,-,,,,,,,,
,,,Watchman,,27,32-34,32-33,29,-,,,,,,,,
,COURTIERS,,Advisor,,28,35-36,34,30-31,11-14,,,,,,,,
,,,Artist,,29,37,35-36,32,15-18,,,,,,,,
,,,Duellist,,30,38,-,33-34,-,,,,,,,,
,,,Envoy,,31,39-40,37,35-37,19-25,,,,,,,,
,,,Noble,,32,41,-,38-40,26-31,,,,,,,,
,,,Servant,,33-35,42,38-43,-,-,,,,,,,,
,,,Spy,,36,43,44,41-43,32-35,,,,,,,,
,,,Warden,,37,44-45,45-46,44-45,-,,,,,,,,
,PEASANTS,,Bailiff,,38,46-47,47,-,-,,,,,,,,
,,,Hedge Witch,,39,-,-,-,-,,,,,,,,
,,,Herbalist,,40,-,48-50,46-47,36-42,,,,,,,,
,,,Hunter,,41-42,48-49,51-52,48-50,43-52,,,,,,,,
,,,Miner,,43,50-54,53,-,-,,,,,,,,
,,,Mystic,,44,-,-,-,53-57,,,,,,,,
,,,Scout,,45,55,54,51-56,58-68,,,,,,,,
,,,Villager,,46-50,56,55-57,-,-,,,,,,,,
,RANGERS,,Bounty Hunter,,51,57-60,58,57-59,69-70,,,,,,,,
,,,Coachman,,52,61,59-60,-,-,,,,,,,,
,,,Entertainer,,53-54,62-63,61-63,60-62,71-75,,,,,,,,
,,,Flagellant,,55-56,-,-,-,76-78,,,,,,,,
,,,Messenger,,57,64-65,64-65,63,-,,,,,,,,
,,,Pedlar,,58,66-67,66-67,-,-,,,,,,,,
,,,Road Warden,,59,-,68,-,-,,,,,,,,
,,,Witch Hunter,,60,-,-,-,-,,,,,,,,
,RIVERFOLK,,Boatman,,61-62,68-69,69,64,-,,,,,,,,
,,,Huffer,,63,70,70,-,-,,,,,,,,
,,,Riverwarden,,64-65,-,71,-,-,,,,,,,,
,,,Riverwoman,,66-68,71-72,72-74,-,-,,,,,,,,
,,,Seaman,,69-70,73,75,65-79,-,,,,,,,,
,,,Smuggler,,71,74-75,76-79,80,-,,,,,,,,
,,,Stevedore,,72-73,76-77,80-82,-,-,,,,,,,,
,,,Wrecker,,74,78,-,-,79,,,,,,,,
,ROGUES,,Bawd,,75-76,-,83-85,81-82,-,,,,,,,,
,,,Charlatan,,77,-,86,83-85,-,,,,,,,,
,,,Fence,,78,79,87,-,-,,,,,,,,
,,,Grave Robber,,79,-,88,-,-,,,,,,,,
,,,Outlaw,,80-83,80-82,89,86-88,80-85,,What step did you do?,,,,,,
,,,Racketeer,,84,83,90,-,-,,Unselected,,,,,,
,,,Thief,,85-87,84,91-94,-,-,,,,,,,,
,,,Witch,,88,-,-,-,-,,Chosen Class:,,,,,,
,WARRIORS,,Cavalryman,,89-90,-,-,89-92,86-90,,Unselected,,,,,,
,,,Guard,,91-92,85-87,95-96,93-94,91-92,,,,,,,,
,,,Knight,,93,-,-,95,93-94,,Chosen Career:,,,,,,
,,,Pit Fighter,,94,88-90,97,96-97,95-96,,Unselected,,,,,,
,,,Protagonist,,95,91-93,-,98,-,,,,,,,,
,,,Soldier,,96-99,94-96,98-100,99-100,100,,,,,,,,
,,,Slayer,,-,97-100,-,-,-,,,,,,,,
,,,Warrior Priest,,100,-,-,-,-,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3) Attributes,,,,,,,,,,,,,,,,
,Step 1. Roll 2d10 for each of the ten Characteristics and make a note of the results.,,,,,,,,,,,,,,,,
,"If you feel your Character would be improved if you swapped round some of the dice roll results between Characteristics, move to the next step.",,,,,,,,,,,,,,,,
,"If you stick with your random results, add the die rolls to the modifier for each Characteristic from the Attribute Table, write them on your Character Sheet and gain +50 XP",,,,,,,,,,,,,,,,
,"Step 2. Rearrange the ten numbers rolled under step 1, assigning each to a different Characteristic (and adding its modifier).",,,,,,,,,,,,,,,,
,"If you’re happy with this new mix, record them on your Character Sheet and gain +25 XP. If not, move to the next step.",,,,,,,,,,,,,,,,
,"Step 3. If you’re still not happy with your results, either roll again and swap the rolls around with no XP bonus, or you could ignore the dice completely! ",,,,,,,,,,,,,,,,
,"Instead, allocate 100 points across the 10 Characteristics as you prefer, with a minimum of 4 and a maximum of 18 allocated to any single Characteristic.",,,,,,,,,,,,,,,,
,"Add the modifiers from the Attribute Table and record them on your Character Sheet. Like rolling again, there is no XP bonus for this option.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Race,,Unselected,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Skill,Your roll,Race Stats,Stats i total,,What step did you do?,,,,,,,,,,,
,Weapon Skill,15,,15,,Unselected,,,,,,,,,,,
,Ballistic Skill,18,,18,,,,,,,,,,,,,
,Strength,8,,8,,,,,,,,,,,,,
,Toughness,14,,14,,,,,,,,,,,,,
,Initiative,17,,17,,,,,,,,,,,,,
,Agility,10,,10,,,,,,,,,,,,,
,Dexterity,12,,12,,,,,,,,,,,,,
,Intelligence,16,,16,,,,,,,,,,,,,
,Willpower,18,,18,,,,,,,,,,,,,
,Fellowship,15,,15,,,,,,,,,,,,,
,Wounds,3,,,,,,,,,,,,,,,
,Fate ,1,,1,,,,,,,,,,,,,
,Resilience,1,,1,,,,,,,,,,,,,
,Extra Points,-2,,,<---- Remember to use your extra points,,,,,,,,,,,,
,Movement,Movement,Walk,Run,,,,,,,,,,,,,
,Movement,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Determining Motivation 
All characters choose a Motivation. It represents your Character’s core essence, a word or phrase that sums up what you live for. In addition to the obvious roleplaying benefits 
for portraying your character, Motivation is used to help you regain Resolve points. When considering your Motivation, think of something that is fundamental to your character’s 
nature. Also try to make your Motivation something fun to roleplay, and something that will work well with the other PCs and their motivations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,4) Skills and Talent,,,,,,,,,,,,,,,,
,"Species Skills and Talents 
Each Species has a variety of Skills and Talents to choose from. You may choose 3 Skills to gain 5 Advances each, and 3 Skills to gain 3 Advances each. If a Talent listing presents a choice, you select one Talent from the choices given. 
Any Random Talents are determined by the Random Talent table. If you roll a Talent you already have, you may reroll. 
Note: All Characters are assumed to be fluent in Reikspiel,, the language of the Empire, and do not need to take it as a Skill. For more on this, see page 124.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Race,,Unselected,,,,,,,Random Talents,,,,,,,
,,,,,,,,,,Roll,Description,,Roll,Description,,,
,Skills:,,Your Advances,,,,,,,1-3,Acute Sense (any one),,51-52,Noble Blood,,,
,,,,,,,,,,3-6,Ambidextrous,,53-55,Orientation,,,
,,,,,,,,,,7-9,Animal Affinity,,56-58,Perfect Pitch,,,
,,,,,,,,,,10-12,Artistic,,59-62,Pure Soul,,,
,,,,,,,,,,13-15,Attractive,,63-65,Read/Write,,,
,,,,,,,,,,16-18,Coolheaded,,66-68,Resistance (any one),,,
,,,,,,,,,,19-21,Craftsman (any one),,69-71,Savvy,,,
,,,,,,,,,,22-24,Flee!,,72-74,Sharp,,,
,,,,,,,,,,25-28,Hardy,,75-78,Sixth Sense,,,
,,,,,,,,,,29-31,Lightning Reflexes,,79-81,Strong Legs,,,
,,,,,,,,,,32-34,Linguistics,,82-84,Sturdy,,,
,,,,,,,,,,35-38,Luck,,85-87,Suave,,,
,,,,,,,,,,39-41,Marksman,,88-91,Super Numerate,,,
,,,0,<---- Remember to use all your Advances,,,,,,42-44,Mimic,,92-94,Very Resilient,,,
,Talents:,,,,,,Talents you get,,,45-47,Night Vision,,95-97,Very Strong,,,
,,,,,,,,,,48-50,Nimble Fingered,,98-100,Warrior Born,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Career Skills and Talents
Now turn to your career in Chapter 3: Class and Careers. You begin at the first Career level listed in your Career Path. There are 8 Skills and 4 Talents listed with that level, and you can choose which of these you are most proficient at.
Allocate 40 Advances to your eight starting Skills, with no more than 10 Advances allocated to any single Skill at this stage. This is enough for you to add 5 Advances to every Career Skill if you wish, which is one of the required steps 
to complete your Career if you wish to move to a new one (see Changing Career on page 48). You may also choose a single Talent to learn.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Chosen Career:,,,Skills:,,Advances:,,,Talents:,,Pick one:,,,,,,
,Unselected,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,5) Trappings,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Chosen Class's Trappings:,,,,Unselected,,,Chosen Career Trappings:,,,,,Unselected,,Status Tier ,,Starting Wealth
,,,,,,,,,,,,,,,Brass,2d10 brass pennies per Status Level,
,,,,,,,,,,,,,,,Silver,1d10 silver shillings per Status Level,
,,,,,,,,,,,,,,,Gold,1 Gold crown per Status Level,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,6) Adding Detail,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Character Name:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Physical Details,,,,,,,,,,,,,,,,
,Character Age:,,,,,Age calculator,,,,,,,,,,,
,,,,,,Human,Dwarf,Elf,Halfling,,,,,,,,
,Character Eye Colour,,,,,15+d10,15+10d10,30+10d10,15+5d10,,,,,,,,
,,,,,,,,,,,,,,,,,
,Character Hair Colour,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Character Height,,,,,Height calculator,,,,,,,,,,,
,,,,,,Human,,Dwarf,,Elf,,Halfling,,,,,
,,,,,,150cm + 10d6,,130cm + 5d6,,155cm + 5d6,,95cm + 5d6,,,,,
,,,,,,,,,,,,,,,,,
,Ambitions,,,,,,,,,,,,,,,,
,"Ambitions are a Character’s goals in life – what they want to achieve. 
All characters have both a Short-Term and Long-Term Ambition.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Choosing Ambitions,,,,,,,,,,,,,,,,
,"Consult with your GM when choosing your Ambitions. 
Your GM has final say on the acceptability of an Ambition, 
and whether it is short-term or long-term. 
Should you wish to change an Ambition, you may do so between sessions.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Short-term Ambitions,,,,,,,,,,,,,,,,
,"Short-term Ambitions represent your immediate goals. 
They are outcomes you wish to achieve within days and weeks, possibly sooner. 
Under normal circumstances, 
a short-term Ambition should take at least two or three sessions to complete.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Long-term Ambitions,,,,,,,,,,,,,,,,
,"Long-term Ambitions are goals you will need to work on for months or years to complete, 
and may never be achieved at all, perhaps taken more as a description of a primary 
motivation in your life than a realistic outcome",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Your Short-term Ambitions,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Your Long-term Ambitions,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,8) Bringing Your Character to Life,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Where are you from?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,What is your family like?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,What was your childhood like?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Why did you leave home?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Who are your best friends?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,What is your greatest desire?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,What are your best and worst memories?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,What are your religious beliefs?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"To whom, or what, are you loyal?",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Why are you adventuring?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,9) Advancement,,,,,,,,,,,,,,,,
,"Experience Points (XP) are used to improve your character. The GM will give you XP after every session of play, and you may be rewarded for doing particularly well. 
This could include successfully resolving the ongoing adventure, roleplaying your character well or defeating important enemies. Between sessions, you spend your XP to buy new Skills and Talents, 
to increase Characteristics, and to change Career. The final step in creating your Character is to spend any bonus XP you earned through the Character Creation process. 
The tables below shows how you can spend these points.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Initially, you can only spend your XP to increase the 3 
Characteristics, 8 Skills, and 4 Talents available to your Career 
level. For more details on spending XP, see page 47.",,,,,,Characteristic and Skill Improvement XP Costs,,,,,,,,,,
,,,,,,,Advances,XP Cost per Advance,,,,,,,,,
,,,,,,,,Characteristics,,Skills,,,,,,,
,,,,,,,0 to 5,25,,10,,,,,,,
,,XP i total,0,,,,6 to 10,30,,15,,,,,,,
,,,,,,,11 to 15,40,,20,,,,,,,
,,,,,,,16 to 20,50,,30,,,,,,,
,,,,,,,21 to 25,70,,40,,,,,,,
,Other improvement costs,,,,,,26 to 30,90,,60,,,,,,,
,Improvement,,,XP Cost,,,31 to 35,120,,80,,,,,,,
,.+1 Talent,,,.+100 XP per level in talent ,,,36 to 40,150,,110,,,,,,,
,Leave a Complete Career,,,100 XP,,,41 to 45,190,,140,,,,,,,
,Leave an Incomplete Career,,,200 XP,,,46 to 50,230,,180,,,,,,,
,,,,,,,51 to 55,280,,220,,,,,,,
,,,,,,,56 to 60,330,,270,,,,,,,
,,,,,,,61 60 65,390,,320,,,,,,,
,,,,,,,66 to 70,450,,380,,,,,,,
,,,,,,,70,520,,440,,,,,,,